timestamp,component,model_or_tool,tokens_in,tokens_out,latency_ms,cost_usd,conversation_id
2025-11-29T14:14:41.663379+00:00,google_maps,places_park,,,242.505,,
2025-11-29T14:14:42.098624+00:00,google_maps,places_shopping_mall,,,266.189,,
2025-11-29T14:14:42.520963+00:00,google_maps,places_hospital,,,251.982,,
2025-11-29T14:14:43.012306+00:00,google_maps,places_beach,,,314.293,,
2025-11-29T14:14:43.389593+00:00,google_maps,geocode,,,209.06,,
2025-11-29T14:14:43.842565+00:00,google_maps,places_gym,,,280.648,,
2025-11-29T14:14:44.391589+00:00,google_maps,places_school,,,368.978,,
2025-11-29T14:14:44.816365+00:00,google_maps,places_university,,,248.656,,
2025-11-29T14:14:45.245700+00:00,google_maps,places_park,,,261.783,,
2025-11-29T14:14:45.666534+00:00,google_maps,places_shopping_mall,,,248.632,,
2025-11-29T14:14:46.108991+00:00,google_maps,places_hospital,,,268.038,,
2025-11-29T14:14:46.668443+00:00,google_maps,places_beach,,,301.82,,
2025-11-29T14:14:47.092042+00:00,google_maps,geocode,,,240.618,,
2025-11-29T14:14:47.526738+00:00,google_maps,places_gym,,,258.755,,
2025-11-29T14:14:47.956076+00:00,google_maps,places_school,,,260.787,,
2025-11-29T14:14:48.340979+00:00,google_maps,places_university,,,204.949,,
2025-11-29T14:14:48.770460+00:00,google_maps,places_park,,,243.971,,
2025-11-29T14:14:49.166245+00:00,google_maps,places_shopping_mall,,,219.489,,
2025-11-29T14:14:49.567305+00:00,google_maps,places_hospital,,,232.528,,
2025-11-29T14:14:50.062395+00:00,google_maps,places_beach,,,308.962,,
2025-11-29T14:14:50.471358+00:00,google_maps,geocode,,,224.099,,
2025-11-29T14:14:50.882610+00:00,google_maps,places_gym,,,239.602,,
2025-11-29T14:14:51.404859+00:00,google_maps,places_school,,,336.159,,
2025-11-29T14:14:51.734895+00:00,google_maps,places_university,,,160.189,,
2025-11-29T14:14:52.149639+00:00,google_maps,places_park,,,234.376,,
2025-11-29T14:14:52.567885+00:00,google_maps,places_shopping_mall,,,254.535,,
2025-11-29T14:14:53.011308+00:00,google_maps,places_hospital,,,264.639,,
2025-11-29T14:14:53.498739+00:00,google_maps,places_beach,,,299.201,,
2025-11-29T14:14:53.860522+00:00,google_maps,geocode,,,187.928,,
2025-11-29T14:14:54.282478+00:00,google_maps,places_gym,,,254.442,,
2025-11-29T14:14:54.805204+00:00,google_maps,places_school,,,341.679,,
2025-11-29T14:14:55.173297+00:00,google_maps,places_university,,,198.959,,
2025-11-29T14:14:55.741832+00:00,google_maps,places_park,,,395.403,,
2025-11-29T14:14:56.092481+00:00,google_maps,places_shopping_mall,,,165.163,,
2025-11-29T14:14:56.439066+00:00,google_maps,places_hospital,,,167.513,,
2025-11-29T14:14:56.909304+00:00,google_maps,places_beach,,,287.892,,
2025-11-29T14:14:57.307744+00:00,google_maps,geocode,,,218.758,,
2025-11-29T14:14:57.778960+00:00,google_maps,places_gym,,,264.984,,
2025-11-29T14:14:58.224578+00:00,google_maps,places_school,,,253.952,,
2025-11-29T14:14:59.013843+00:00,google_maps,places_university,,,239.068,,
2025-11-29T14:14:59.388618+00:00,google_maps,places_park,,,200.59,,
2025-11-29T14:14:59.783286+00:00,google_maps,places_shopping_mall,,,218.432,,
2025-11-29T14:15:00.233724+00:00,google_maps,places_hospital,,,248.213,,
2025-11-29T14:15:00.675815+00:00,google_maps,places_beach,,,259.021,,
2025-11-29T14:15:01.141559+00:00,google_maps,geocode,,,269.571,,
2025-11-29T14:15:01.908668+00:00,google_maps,places_gym,,,255.864,,
2025-11-29T14:15:02.375465+00:00,google_maps,places_school,,,285.339,,
2025-11-29T14:15:02.749904+00:00,google_maps,places_university,,,190.969,,
2025-11-29T14:15:03.124533+00:00,google_maps,places_park,,,199.355,,
2025-11-29T14:15:03.509519+00:00,google_maps,places_shopping_mall,,,205.031,,
2025-11-29T14:15:03.952402+00:00,google_maps,places_hospital,,,251.595,,
2025-11-29T14:15:04.438466+00:00,google_maps,places_beach,,,299.855,,
2025-11-29T14:15:04.865066+00:00,google_maps,geocode,,,246.359,,
2025-11-29T14:15:05.302086+00:00,google_maps,places_gym,,,256.594,,
2025-11-29T14:15:05.693255+00:00,google_maps,places_school,,,207.378,,
2025-11-29T14:15:06.047704+00:00,google_maps,places_university,,,175.552,,
2025-11-29T14:15:06.477890+00:00,google_maps,places_park,,,230.245,,
2025-11-29T14:15:06.895489+00:00,google_maps,places_shopping_mall,,,179.395,,
2025-11-29T14:15:07.242041+00:00,google_maps,places_hospital,,,158.821,,
2025-11-29T14:15:07.689300+00:00,google_maps,places_beach,,,230.087,,
2025-11-29T14:15:08.067569+00:00,google_maps,geocode,,,196.66,,
2025-11-29T14:15:08.615170+00:00,google_maps,places_gym,,,343.572,,
2025-11-29T14:15:09.403840+00:00,google_maps,places_school,,,270.96,,
2025-11-29T14:15:09.861048+00:00,google_maps,places_university,,,277.04,,
2025-11-29T14:15:10.353294+00:00,google_maps,places_park,,,312.783,,
2025-11-29T14:15:11.146096+00:00,google_maps,places_shopping_mall,,,266.28,,
2025-11-29T14:15:11.567936+00:00,google_maps,places_hospital,,,231.389,,
2025-11-29T14:15:12.050992+00:00,google_maps,places_beach,,,307.581,,
2025-11-29T14:15:12.486499+00:00,google_maps,geocode,,,240.993,,
2025-11-29T14:15:13.024026+00:00,google_maps,places_gym,,,354.143,,
2025-11-29T14:15:13.497844+00:00,google_maps,places_school,,,292.989,,
2025-11-29T14:15:13.919059+00:00,google_maps,places_university,,,236.204,,
2025-11-29T14:15:14.355122+00:00,google_maps,places_park,,,247.906,,
2025-11-29T14:15:14.799272+00:00,google_maps,places_shopping_mall,,,271.915,,
2025-11-29T14:15:15.231671+00:00,google_maps,places_hospital,,,255.575,,
2025-11-29T14:15:15.714564+00:00,google_maps,places_beach,,,298.142,,
2025-11-29T14:15:16.140762+00:00,google_maps,geocode,,,245.779,,
2025-11-29T14:15:16.576720+00:00,google_maps,places_gym,,,255.043,,
2025-11-29T14:15:17.013482+00:00,google_maps,places_school,,,260.61,,
2025-11-29T14:15:17.457085+00:00,google_maps,places_university,,,252.393,,
2025-11-29T14:15:17.914368+00:00,google_maps,places_park,,,266.643,,
2025-11-29T14:15:18.356045+00:00,google_maps,places_shopping_mall,,,242.924,,
2025-11-29T14:15:18.786270+00:00,google_maps,places_hospital,,,248.981,,
2025-11-29T14:15:19.456384+00:00,google_maps,places_beach,,,485.291,,
2025-11-29T14:15:19.871258+00:00,google_maps,geocode,,,238.082,,
2025-11-29T14:15:20.362246+00:00,google_maps,places_gym,,,299.624,,
2025-11-29T14:15:20.849343+00:00,google_maps,places_school,,,292.51,,
2025-11-29T14:15:21.271729+00:00,google_maps,places_university,,,248.394,,
2025-11-29T14:15:21.745701+00:00,google_maps,places_park,,,293.112,,
2025-11-29T14:15:22.185506+00:00,google_maps,places_shopping_mall,,,255.484,,
2025-11-29T14:15:22.589462+00:00,google_maps,places_hospital,,,236.158,,
2025-11-29T14:15:23.098625+00:00,google_maps,places_beach,,,329.142,,
2025-11-29T14:15:42.713903+00:00,system1,gpt-4o-mini-2024-07-18,,,19038.43,,
2025-11-29T14:21:09.959519+00:00,system1,o4-mini,548,309,4956.069,0.000268,3d052240-3cb7-4fd1-bdbb-d57bc46b841f
2025-11-29T14:21:14.044435+00:00,system1,gpt-4o-mini,492,84,3539.814,0.000124,3d052240-3cb7-4fd1-bdbb-d57bc46b841f
2025-11-29T14:25:49.208949+00:00,system2,o4-mini,278,173,13246.946,0.000145,0116fa0c-1158-4640-97ad-37306dd98e11
2025-11-29T14:25:54.902694+00:00,system2,gpt-4o-mini-2024-07-18,,,4379.793,,
2025-11-29T14:25:59.691507+00:00,system2,gpt-4o-mini-2024-07-18,,,4321.123,,
2025-11-29T14:26:55.171563+00:00,system2,o4-mini,301,324,4511.235,0.00024,0116fa0c-1158-4640-97ad-37306dd98e11
2025-11-29T14:26:57.939362+00:00,system2,gpt-4o-mini-2024-07-18,,,1766.805,,
2025-11-29T14:26:58.941183+00:00,google_maps,geocode,,,787.999,,
2025-11-29T14:26:59.709104+00:00,google_maps,places_gym,,,584.042,,
2025-11-29T14:27:00.168658+00:00,google_maps,places_school,,,282.41,,
2025-11-29T14:27:00.630221+00:00,google_maps,places_university,,,288.862,,
2025-11-29T14:27:01.074608+00:00,google_maps,places_park,,,268.693,,
2025-11-29T14:27:01.548964+00:00,google_maps,places_shopping_mall,,,278.351,,
2025-11-29T14:27:01.999460+00:00,google_maps,places_hospital,,,278.105,,
2025-11-29T14:27:02.468672+00:00,google_maps,places_beach,,,294.485,,
2025-11-29T14:27:02.859402+00:00,google_maps,geocode,,,205.022,,
2025-11-29T14:27:03.307823+00:00,google_maps,places_gym,,,256.072,,
2025-11-29T14:27:03.731022+00:00,google_maps,places_school,,,259.33,,
2025-11-29T14:27:04.163484+00:00,google_maps,places_university,,,241.123,,
2025-11-29T14:27:04.617442+00:00,google_maps,places_park,,,270.95,,
2025-11-29T14:27:05.048663+00:00,google_maps,places_shopping_mall,,,260.184,,
2025-11-29T14:27:05.475139+00:00,google_maps,places_hospital,,,253.438,,
2025-11-29T14:27:05.932872+00:00,google_maps,places_beach,,,285.488,,
2025-11-29T14:27:06.272542+00:00,google_maps,geocode,,,157.525,,
2025-11-29T14:27:06.651483+00:00,google_maps,places_gym,,,205.501,,
2025-11-29T14:27:07.020101+00:00,google_maps,places_school,,,196.58,,
2025-11-29T14:27:07.414215+00:00,google_maps,places_university,,,221.239,,
2025-11-29T14:27:07.770624+00:00,google_maps,places_park,,,190.404,,
2025-11-29T14:27:08.183658+00:00,google_maps,places_shopping_mall,,,208.012,,
2025-11-29T14:27:08.584689+00:00,google_maps,places_hospital,,,221.828,,
2025-11-29T14:27:08.969779+00:00,google_maps,places_beach,,,208.292,,
2025-11-29T14:27:09.368184+00:00,google_maps,geocode,,,217.162,,
2025-11-29T14:27:09.862304+00:00,google_maps,places_gym,,,285.007,,
2025-11-29T14:27:10.305989+00:00,google_maps,places_school,,,272.585,,
2025-11-29T14:27:10.745066+00:00,google_maps,places_university,,,266.065,,
2025-11-29T14:27:11.171442+00:00,google_maps,places_park,,,261.057,,
2025-11-29T14:27:11.658675+00:00,google_maps,places_shopping_mall,,,301.933,,
2025-11-29T14:27:12.094462+00:00,google_maps,places_hospital,,,263.393,,
2025-11-29T14:27:12.555916+00:00,google_maps,places_beach,,,287.075,,
2025-11-29T14:27:12.977162+00:00,google_maps,geocode,,,234.605,,
2025-11-29T14:27:13.404433+00:00,google_maps,places_gym,,,225.719,,
2025-11-29T14:27:13.789513+00:00,google_maps,places_school,,,212.451,,
2025-11-29T14:27:14.124116+00:00,google_maps,places_university,,,161.221,,
2025-11-29T14:27:14.568166+00:00,google_maps,places_park,,,267.678,,
2025-11-29T14:27:14.984264+00:00,google_maps,places_shopping_mall,,,236.287,,
2025-11-29T14:27:15.365994+00:00,google_maps,places_hospital,,,201.98,,
2025-11-29T14:27:15.812415+00:00,google_maps,places_beach,,,276.395,,
2025-11-29T14:27:16.154814+00:00,google_maps,geocode,,,166.219,,
2025-11-29T14:27:16.555535+00:00,google_maps,places_gym,,,211.415,,
2025-11-29T14:27:16.932423+00:00,google_maps,places_school,,,195.636,,
2025-11-29T14:27:17.315262+00:00,google_maps,places_university,,,194.232,,
2025-11-29T14:27:17.700969+00:00,google_maps,places_park,,,199.233,,
2025-11-29T14:27:18.093802+00:00,google_maps,places_shopping_mall,,,209.282,,
2025-11-29T14:27:18.489442+00:00,google_maps,places_hospital,,,224.224,,
2025-11-29T14:27:18.892775+00:00,google_maps,places_beach,,,215.006,,
2025-11-29T14:27:19.234698+00:00,google_maps,geocode,,,170.579,,
2025-11-29T14:27:19.626113+00:00,google_maps,places_gym,,,208.592,,
2025-11-29T14:27:20.003246+00:00,google_maps,places_school,,,195.327,,
2025-11-29T14:27:20.378848+00:00,google_maps,places_university,,,198.022,,
2025-11-29T14:27:20.757679+00:00,google_maps,places_park,,,201.017,,
2025-11-29T14:27:21.139374+00:00,google_maps,places_shopping_mall,,,203.844,,
2025-11-29T14:27:21.537536+00:00,google_maps,places_hospital,,,204.823,,
2025-11-29T14:27:21.915038+00:00,google_maps,places_beach,,,210.396,,
2025-11-29T14:27:22.245431+00:00,google_maps,geocode,,,149.869,,
2025-11-29T14:27:22.631537+00:00,google_maps,places_gym,,,202.47,,
2025-11-29T14:27:23.017647+00:00,google_maps,places_school,,,201.542,,
2025-11-29T14:27:23.376333+00:00,google_maps,places_university,,,191.671,,
2025-11-29T14:27:23.831859+00:00,google_maps,places_park,,,220.255,,
2025-11-29T14:27:24.224134+00:00,google_maps,places_shopping_mall,,,202.378,,
2025-11-29T14:27:24.593153+00:00,google_maps,places_hospital,,,199.023,,
2025-11-29T14:27:24.963219+00:00,google_maps,places_beach,,,199.453,,
2025-11-29T14:27:25.295439+00:00,google_maps,geocode,,,150.815,,
2025-11-29T14:27:25.673599+00:00,google_maps,places_gym,,,197.887,,
2025-11-29T14:27:26.058781+00:00,google_maps,places_school,,,197.799,,
2025-11-29T14:27:26.420076+00:00,google_maps,places_university,,,189.923,,
2025-11-29T14:27:26.781729+00:00,google_maps,places_park,,,186.721,,
2025-11-29T14:27:27.157359+00:00,google_maps,places_shopping_mall,,,198.557,,
2025-11-29T14:27:27.553963+00:00,google_maps,places_hospital,,,222.135,,
2025-11-29T14:27:27.932372+00:00,google_maps,places_beach,,,205.234,,
2025-11-29T14:27:28.282842+00:00,google_maps,geocode,,,166.726,,
2025-11-29T14:27:28.634456+00:00,google_maps,places_gym,,,171.657,,
2025-11-29T14:27:28.988284+00:00,google_maps,places_school,,,169.96,,
2025-11-29T14:27:29.336935+00:00,google_maps,places_university,,,163.715,,
2025-11-29T14:27:29.695405+00:00,google_maps,places_park,,,185.761,,
2025-11-29T14:27:30.047048+00:00,google_maps,places_shopping_mall,,,172.15,,
2025-11-29T14:27:30.399505+00:00,google_maps,places_hospital,,,161.865,,
2025-11-29T14:27:30.792801+00:00,google_maps,places_beach,,,204.349,,
2025-11-29T14:27:31.134486+00:00,google_maps,geocode,,,164.361,,
2025-11-29T14:27:31.517918+00:00,google_maps,places_gym,,,175.329,,
2025-11-29T14:27:31.868706+00:00,google_maps,places_school,,,169.751,,
2025-11-29T14:27:32.188211+00:00,google_maps,places_university,,,150.637,,
2025-11-29T14:27:32.536808+00:00,google_maps,places_park,,,179.181,,
2025-11-29T14:27:32.884388+00:00,google_maps,places_shopping_mall,,,171.9,,
2025-11-29T14:27:33.224566+00:00,google_maps,places_hospital,,,164.666,,
2025-11-29T14:27:33.594534+00:00,google_maps,places_beach,,,193.107,,
2025-11-29T14:27:42.917444+00:00,system2,gpt-4o-mini-2024-07-18,,,8812.658,,
